,0
0,6
1,0
2,0
3,0
4,6
5,6
6,0
7,6
8,0
9,0
10,6
11,0
12,0
13,0
14,6
15,6
16,6
17,6
18,6
19,6
20,6
21,6
22,0
23,6
24,0
25,0
26,6
27,6
28,6
29,0
30,0
31,6
32,6
33,6
34,0
35,0
36,6
37,0
38,0
39,6
40,6
41,0
42,0
43,6
44,6
45,0
46,6
47,0
48,6
49,0
50,3
51,3
52,3
53,2
54,3
55,4
56,3
57,2
58,3
59,2
60,2
61,4
62,4
63,3
64,2
65,3
66,4
67,4
68,4
69,2
70,3
71,4
72,3
73,3
74,4
75,3
76,3
77,3
78,4
79,2
80,2
81,2
82,4
83,3
84,4
85,3
86,3
87,4
88,4
89,2
90,4
91,3
92,4
93,2
94,4
95,4
96,4
97,4
98,2
99,4
100,1
101,3
102,5
103,1
104,1
105,5
106,2
107,5
108,1
109,5
110,1
111,1
112,1
113,3
114,3
115,1
116,1
117,5
118,5
119,3
120,1
121,3
122,5
123,3
124,1
125,5
126,3
127,3
128,1
129,5
130,5
131,5
132,1
133,3
134,3
135,5
136,1
137,1
138,3
139,1
140,1
141,1
142,3
143,1
144,1
145,1
146,3
147,1
148,1
149,3
